id,user_id,name,roaster_shop_id,roast_level,roast_date,origin_country,farm,variety,process,purchase_shop_id,purchase_date,price,initial_weight_g,current_weight_g,notes,archived,tags,liking,aroma,sourness,bitterness,sweetness,body,aftertaste,tasting_comment,tasting_photos,tasted_at,created_at,updated_at
c75aff75-b8a0-412b-a12d-c958a6d7dc2d,48f186a3-e094-416f-86ab-5d5c016c002a,ETHIOPIA GOTITI REKU WS HONEY,6fb1272f-3bfd-4817-8624-a54e376979ea,,2025-07-25,エチオピア,,,,6fb1272f-3bfd-4817-8624-a54e376979ea,2025-07-25,,200,200,,true,[],5,5,9,1,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:42.779532+00
caac4edc-7298-4c05-b6d5-9be6563d3010,48f186a3-e094-416f-86ab-5d5c016c002a,ペルー(OBSCURA COFFEE ROASTERS),7ecdddbd-66c6-4011-931a-8f528c315450,,2025-08-22,ペルー,,,,7ecdddbd-66c6-4011-931a-8f528c315450,2025-08-22,,200,200,,true,[],7,6,9,3,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:20.674477+00
cd0366e8-8ced-4ae6-856e-86af578b8c7e,48f186a3-e094-416f-86ab-5d5c016c002a,リリオス農園　バラホナワイニーナチュラル,93cfdb69-7d70-483f-a9e5-e582d9e9b3e2,,2025-07-18,ドミニカ共和国,,,,93cfdb69-7d70-483f-a9e5-e582d9e9b3e2,2025-07-18,,200,200,,true,[],5,5,6,5,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:49.451168+00
d1d679a4-15d5-4495-a52b-924b70e9f686,48f186a3-e094-416f-86ab-5d5c016c002a,HAPPY HOLIDAY BLEND,e2774caf-ab0b-472e-89d1-838b14392b75,,2025-09-04,"インドネシア, エチオピア",,,,e2774caf-ab0b-472e-89d1-838b14392b75,2025-09-04,,200,200,,true,[],8,8,5,4,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:08.685081+00
d763bb60-9b5d-4657-b273-b7d08e432d7f,48f186a3-e094-416f-86ab-5d5c016c002a,AMBER DROP ORIGINAL BLEND,6fb1272f-3bfd-4817-8624-a54e376979ea,,,,,,,,,,,,,true,[],7,6,6,4,5,5,5,,,2025-11-22 15:20:08.154+00,2025-11-22 15:19:34.189352+00,2025-11-22 15:20:09.478511+00
db6a23c5-5f18-4dfe-bb8d-e6ecdd331f36,48f186a3-e094-416f-86ab-5d5c016c002a,リモンシージョ ブルボン ナチュラル,28413643-c950-4e1e-b0d6-9cd21eaec6c4,,2025-07-05,ニカラグア,,,,28413643-c950-4e1e-b0d6-9cd21eaec6c4,2025-07-05,,200,200,,true,[],5,3,2,5,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:55.943109+00
dcd3dcd2-5213-4608-bd8b-73a8f549c891,48f186a3-e094-416f-86ab-5d5c016c002a,オリジナルブレンドDROP,b70dc7e3-9e00-4bed-9b95-f660738f492c,,2025-07-02,"エチオピア, コロンビア, タンザニア, ブラジル",,,,b70dc7e3-9e00-4bed-9b95-f660738f492c,2025-07-02,,200,200,,true,[],5,5,3,6,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:51.64078+00
de047567-312e-4713-ad5f-002663eaaa14,48f186a3-e094-416f-86ab-5d5c016c002a,Fruit Blend,7ecdddbd-66c6-4011-931a-8f528c315450,,2025-09-01,"エチオピア, ルワンダ",,,,7ecdddbd-66c6-4011-931a-8f528c315450,2025-09-01,,200,200,,true,[],7,5,8,3,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:10.732155+00
de5d346d-ae29-41ef-b15b-faa1095a104a,48f186a3-e094-416f-86ab-5d5c016c002a,Burundi,7ecdddbd-66c6-4011-931a-8f528c315450,,2025-08-31,ブルンジ,,,,7ecdddbd-66c6-4011-931a-8f528c315450,2025-08-31,,200,200,OBSCURAはやはり良いコーヒーが多いと思った,true,[],7,5,8,3,,,,OBSCURAはやはり良いコーヒーが多いと思った,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:11.286986+00
de8fdd4b-20d5-4659-9151-265bd75473c3,48f186a3-e094-416f-86ab-5d5c016c002a,Le mistral,ba30c039-5f22-4129-a65a-c414a958fc3e,,,,,,,,,,,,,true,[],8,7,8,3,6,3,6,,,2025-11-22 15:15:23.69+00,2025-10-13 14:16:59.16113+00,2025-11-22 15:15:23.804691+00
dea2ff1e-ac5f-4cfe-bd00-9c414c474b97,48f186a3-e094-416f-86ab-5d5c016c002a,一番摘み完熟ブラジル,fbc02aa9-273b-45a0-ac67-12e88daade58,,2025-07-03,ブラジル,,,,fbc02aa9-273b-45a0-ac67-12e88daade58,2025-07-03,,200,200,,true,[],5,4,2,4,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:53.042573+00
df715f15-62d8-4097-baee-4cdf8d85fc8b,48f186a3-e094-416f-86ab-5d5c016c002a,トロピカルマウンテン,28413643-c950-4e1e-b0d6-9cd21eaec6c4,,2025-07-13,パプアニューギニア,,,,28413643-c950-4e1e-b0d6-9cd21eaec6c4,2025-07-13,,200,200,,true,[],5,5,3,5,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:52.44671+00
e07faa39-71f6-496a-9b9c-b1eba6b3c11c,48f186a3-e094-416f-86ab-5d5c016c002a,ケニア(GEISHA),9fa16d1a-a0db-4df6-b25d-1cf8860eac2f,,2025-09-09,ケニア,,,,9fa16d1a-a0db-4df6-b25d-1cf8860eac2f,2025-09-09,,200,200,,true,[],9,7,8,3,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:04.062111+00
e2b214bd-d852-4ad4-b6a5-034de6a8a267,48f186a3-e094-416f-86ab-5d5c016c002a,ブルーマウンテンＮo１(やなか珈琲),c4becb2d-2bf6-48ee-b7ad-d7971afda934,,2025-07-01,ジャマイカ,,,,c4becb2d-2bf6-48ee-b7ad-d7971afda934,2025-07-01,,200,200,,true,[],5,4,6,4,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:50.664565+00
e7446300-c343-4ce8-9f5a-7dfd02e64efd,48f186a3-e094-416f-86ab-5d5c016c002a,GUATEMALA GOLO PRISE,60cd2bb9-c885-453a-bb65-36152dc68f14,Medium,,,,,,,,,200,200,,true,[],5,7,3,7,3,4,5,,,2025-11-22 15:17:59.195+00,2025-11-22 15:17:28.24317+00,2025-11-22 15:18:00.516218+00
e9208892-9a7d-4888-ac0a-8261c436469e,48f186a3-e094-416f-86ab-5d5c016c002a,City Roast,b1f629e2-a587-4707-b4ac-30fce341c699,,2025-08-03,,,,,b1f629e2-a587-4707-b4ac-30fce341c699,2025-08-03,,200,200,,true,[],6,5,7,5,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:37.711563+00
ead37915-c6e9-4d0a-8a6e-519428d93206,48f186a3-e094-416f-86ab-5d5c016c002a,ウガンダ アフリカンムーン ドンキー,cfd72f39-cf3f-4ae1-b658-8e25da237164,,2025-08-19,ウガンダ,,,,cfd72f39-cf3f-4ae1-b658-8e25da237164,2025-08-19,,200,200,,true,[],7,7,6,3,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:23.349726+00
ef2c534d-db77-4dab-9c09-72d4276f37bc,48f186a3-e094-416f-86ab-5d5c016c002a,ちょっと贅沢な珈琲店 スペシャルブレンド,dd9131ba-92c5-4e97-b12d-7da88bf7bd1f,,2025-07-04,,,,,dd9131ba-92c5-4e97-b12d-7da88bf7bd1f,2025-07-04,,200,200,,true,[],5,5,2,7,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:53.918731+00
efc9e828-70e4-448e-9518-0cde4a8ee256,48f186a3-e094-416f-86ab-5d5c016c002a,HAYATE BLEND,20c7912d-fb22-4329-be23-736de7345e4d,,2025-09-03,"エチオピア, グアテマラ, コロンビア, ニカラグア",,,,20c7912d-fb22-4329-be23-736de7345e4d,2025-09-03,,200,200,,true,[],8,7,6,6,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:09.56259+00
f2897af0-3188-4c57-8076-0815bb69fea9,48f186a3-e094-416f-86ab-5d5c016c002a,イルガチェフ ナチュラル,28413643-c950-4e1e-b0d6-9cd21eaec6c4,,2025-07-07,エチオピア,,,,28413643-c950-4e1e-b0d6-9cd21eaec6c4,2025-07-07,,200,200,,true,[],5,4,2,7,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:58.52099+00
f56a9f4b-61b7-4e6a-804f-8898b9284d65,48f186a3-e094-416f-86ab-5d5c016c002a,KANICHI BLEND,1f8c83f0-9199-4c0f-ae60-3f85d5a824f2,High,,,,,,,,,100,100,,false,[],,,,,,,,,,,2025-11-22 15:23:24.543075+00,2025-11-22 15:23:24.543075+00
f70a6ad5-8241-49bd-bef6-ae12fa0f45d7,48f186a3-e094-416f-86ab-5d5c016c002a,Sweet ＆ Flowers,c6680f22-d167-43b8-9138-fc6f1c5502a0,,2025-07-14,コロンビア,,,,c6680f22-d167-43b8-9138-fc6f1c5502a0,2025-07-14,,200,200,,true,[],5,5,5,5,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:51.923431+00
fa525d0a-583f-47f1-966e-515ebdc60027,48f186a3-e094-416f-86ab-5d5c016c002a,ブルンジ,7ecdddbd-66c6-4011-931a-8f528c315450,,2025-08-01,ブルンジ,,,,7ecdddbd-66c6-4011-931a-8f528c315450,2025-08-01,,200,200,,true,[],6,5,3,4,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:38.842923+00
fc073e6c-da78-476d-8327-6a1f8578b683,48f186a3-e094-416f-86ab-5d5c016c002a,レギュラーコーヒー モカブレンド,0662e4f8-05aa-4733-ba26-3db1478f79b3,,2025-08-26,"エチオピア, ブラジル, ベトナム",,,,0662e4f8-05aa-4733-ba26-3db1478f79b3,2025-08-26,,200,200,,true,[],7,6,4,4,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:15.698726+00
fd573f30-9d4e-4167-86eb-a29dafb57fbb,48f186a3-e094-416f-86ab-5d5c016c002a,モカハラズ　スパイシーナチュラル,93cfdb69-7d70-483f-a9e5-e582d9e9b3e2,,2025-08-25,イエメン,,,,93cfdb69-7d70-483f-a9e5-e582d9e9b3e2,2025-08-25,,200,200,,true,[],7,7,7,5,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:16.997494+00
ff61795d-5f6b-413b-a184-ca51a09130b2,48f186a3-e094-416f-86ab-5d5c016c002a,NW2022 #4 Santa Sofia,7ffb021e-1d00-4f12-ae2d-1abeeb483101,,2025-08-20,ペルー,,,,7ffb021e-1d00-4f12-ae2d-1abeeb483101,2025-08-20,,200,200,,true,[],7,4,9,2,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:22.354743+00
