id,user_id,name,type,url,address,memo,created_at,updated_at
ad04cdd7-8f04-48b8-af77-b835108ac29c,48f186a3-e094-416f-86ab-5d5c016c002a,モルティブ下北沢,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
ad8ca75a-f1b3-4752-964f-4f028db6478c,48f186a3-e094-416f-86ab-5d5c016c002a,豆香洞コーヒー,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
b1f629e2-a587-4707-b4ac-30fce341c699,48f186a3-e094-416f-86ab-5d5c016c002a,オニバスコーヒー,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
b54a952a-b27f-478a-9a50-e398b6a9787e,48f186a3-e094-416f-86ab-5d5c016c002a,FRITZ COMPANY COFFEE & BREAD,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
b70dc7e3-9e00-4bed-9b95-f660738f492c,48f186a3-e094-416f-86ab-5d5c016c002a,COFFEE AMP THE ROASTER,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
ba30c039-5f22-4129-a65a-c414a958fc3e,48f186a3-e094-416f-86ab-5d5c016c002a,Belleville Japan,roaster,https://belleville-japan.com/,,,2025-10-05 09:28:39.508496+00,2025-10-05 09:28:39.508496+00
bf96e4a2-1313-45a7-8625-3a82ed6cd0e5,48f186a3-e094-416f-86ab-5d5c016c002a,VERVE COFFEE ROASTERS,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
bfcfd925-cd33-469b-b3ee-e74d67028feb,48f186a3-e094-416f-86ab-5d5c016c002a,Cafe Facon Roaster Atelier,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
c2997165-c990-43ec-825a-7c099528a9dc,48f186a3-e094-416f-86ab-5d5c016c002a,水谷珈琲,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
c4becb2d-2bf6-48ee-b7ad-d7971afda934,48f186a3-e094-416f-86ab-5d5c016c002a,やなか珈琲,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
c6680f22-d167-43b8-9138-fc6f1c5502a0,48f186a3-e094-416f-86ab-5d5c016c002a,NOBLE COFFEE ROASTERS,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
cfd72f39-cf3f-4ae1-b658-8e25da237164,48f186a3-e094-416f-86ab-5d5c016c002a,梟書茶房,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
d348611a-79f7-4011-a964-3f9489d75258,48f186a3-e094-416f-86ab-5d5c016c002a,Paul Bassett,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
dd0ffa92-9b9d-4683-8908-3e1225d8dae3,48f186a3-e094-416f-86ab-5d5c016c002a,LEAVES COFFEE ROASTER,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
dd9131ba-92c5-4e97-b12d-7da88bf7bd1f,48f186a3-e094-416f-86ab-5d5c016c002a,AGF,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
e120540b-6b03-489d-a06d-aeea8643e631,48f186a3-e094-416f-86ab-5d5c016c002a,農事組合法人　共働学舎新得農場,roaster,https://www.kyodogakusha.org/,,,2025-10-13 14:19:14.756599+00,2025-10-13 14:19:14.756599+00
e2774caf-ab0b-472e-89d1-838b14392b75,48f186a3-e094-416f-86ab-5d5c016c002a,カルディ,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
ee0c03fb-e61a-4126-975e-a493035c5b40,48f186a3-e094-416f-86ab-5d5c016c002a,神乃珈琲,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
f7bf5e35-767f-4ab8-ac41-fcb884557b5c,48f186a3-e094-416f-86ab-5d5c016c002a,DOUBLE TALL CAFE,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
fbc02aa9-273b-45a0-ac67-12e88daade58,48f186a3-e094-416f-86ab-5d5c016c002a,豆とコーヒー Laura,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
